Title,BlogURL,Category,PublishedDate,Description
Missing an API Integration? Build Your Own Connector,https://www.uipath.com/blog/product-and-updates/connector-builder-public-preview,PRODUCT AND UPDATES,"October 10, 2022",Successful automation depends on fast application access. No prebuilt API-based connectors available? Meet Connector Builder for Integration Service.
Fueling Synergy Across the Enterprise: IDC's View on Converged Testing Automation,https://www.uipath.com/blog/rpa/fueling-synergy-across-the-enterprise,RPA,"September 20, 2022",Discover the power of converged testing automation and learn how you can optimize your business through a combination of software testing and RPA
Be an Automation Trailblazer and Scale Your Business for Success,https://www.uipath.com/blog/automation/be-automation-trailblazer-scale-automation-successfully,AUTOMATION,"September 14, 2022","Read highlights from a recent IDC InfoBrief, including how forward-looking organizations are combining RPA with other technologies such as artificial intelligence to scale more successfully."
The Future of Process Discovery: Why Continuous Discovery is the Way Forward,https://www.uipath.com/blog/automation/what-is-continuous-discovery,AUTOMATION,"September 13, 2022","Find out what continuous discovery means, how it works, and why it is the future of process discovery for industry-leading organizations."
Why Hasn’t All This Technology Given Us More Leisure Time?,https://www.uipath.com/blog/digital-transformation/what-happened-four-hour-workweek,DIGITAL TRANSFORMATION,"September 6, 2022","Technology was supposed to free us from the burden of labor, allowing us to spend our days how we’d like. What happened to our promised lives of leisure?"
Get More Out of Your Automation Investment By Reusing Test and RPA Components,https://www.uipath.com/blog/product-and-updates/scaling-automation-reusing-test-and-rpa-components,PRODUCT AND UPDATES,"August 30, 2022","The more components that are reused and improved, the more useful they become. Users can expand and scale with a robust component library that covers internal and packaged applications."
What to Expect at FORWARD 5? You Decide.,https://www.uipath.com/blog/automation/forward-5-automation-conference-what-to-expect,AUTOMATION,"August 25, 2022","Get an early look at what you can expect at UiPath FORWARD 5 in Las Vegas next month. With so many options for networking, learning, and fun, you can build your perfect agenda."
UiPath 2022.8 Monthly Update,https://www.uipath.com/blog/product-and-updates/august-2022-uipath-monthly-update,PRODUCT AND UPDATES,"August 22, 2022","Read about the biggest UiPath product updates in the 2022.8 release, including the new Attended Framework, and updates to Process Mining, StudioX, Insights, and more."
Democratizing Automation: UiPath and University of Michigan Join Efforts,https://www.uipath.com/blog/automation/democratizing-automation-university-of-michigan-uipath-partner,AUTOMATION,"August 17, 2022",Find out how University of Michigan Computer Science and Engineering department and UiPath are joining efforts to make automation available to everyone.
"We’re All Creators Now, and Work Should Reflect the New Reality",https://www.uipath.com/blog/digital-transformation/increasing-employee-creativity,DIGITAL TRANSFORMATION,"August 15, 2022","As automation tackles more and more tedious tasks, employees are making greater contributions at work are through their creativity."
Automation Tackles CIOs' #1 Burden – Fragmented Technology,https://www.uipath.com/blog/automation/automation-tackles-fragmented-technology,AUTOMATION,"August 8, 2022",Discover the automation-centric approach savvy chief information officers are using as a solution to fragmented technologies.
UiPath Acquires Re:infer to Enhance Everyday Customer Conversations Through Automation,https://www.uipath.com/blog/product-and-updates/automation-enhances-customer-conversations-uipath-acquires-reinfer,PRODUCT AND UPDATES,"August 1, 2022","UiPath has acquired Re:infer, a natural language processing (NLP) company focused on unstructured documents and communications."
UiPath Named a Leader in Gartner® Magic Quadrant™ for Four Years in a Row,https://www.uipath.com/blog/rpa/gartner-magic-quadrant-rpa-report,RPA,"July 28, 2022",UiPath has once again placed in the Leaders’ magic quadrant for Robotic Process Automation Software with the highest placement for ability to execute.
